title,description,location,host,start_time,end_time
Participant Check-In,Participant Check-In,ILC,HackUMass," Fri, 8 Nov 2024 18:30:00"," Fri, 8 Nov 2024 20:00:00"
Organizer Help Desk Opens,Organizer Help Desk Opens,ILC,HackUMass," Fri, 8 Nov 2024 20:00:00"," Sun, 10 Nov 2024 11:00:00"
Opening Ceremony,Opening Ceremony,Student Union Ballroom,HackUMass," Fri, 8 Nov 2024 20:00:00"," Fri, 8 Nov 2024 21:00:00"
Hacking Begins,Hacking Begins,ILC,HackUMass," Fri, 8 Nov 2024 21:00:00"," Sun, 10 Nov 2024 11:00:00"
Hardware Table Opens,Hardware Table Opens,ILC next to Peets,HackUMass," Fri, 8 Nov 2024 21:00:00"," Sun, 10 Nov 2024 11:00:00"
Introduction to Network Systems,Workshop,ILC S140,Women in Cybersecurity (WiCyS)," Fri, 8 Nov 2024 21:30:00"," Fri, 8 Nov 2024 22:30:00"
Team Building,Workshop,ILC N101,HackUMass," Fri, 8 Nov 2024 21:30:00"," Fri, 8 Nov 2024 22:30:00"
Introduction to Client Side Web Exploitation & Vulnerability Mitigation,Workshop,ILC N101,UMass Cybersecurity Club," Fri, 8 Nov 2024 22:45:00"," Fri, 8 Nov 2024 23:45:00"
Introduction to Git,Workshop,ILC N151,Shiven Patel," Fri, 8 Nov 2024 22:45:00"," Fri, 8 Nov 2024 23:45:00"
Breakfast Opens,Breakfast Opens,ILC Main Atrium,HackUMass," Sat, 9 Nov 2024 09:00:00"," Sat, 9 Nov 2024 10:00:00"
Introduction to Arduino - Part I,Workshop,CICS Makerspace,HackUMass," Sat, 9 Nov 2024 10:00:00"," Sat, 9 Nov 2024 11:00:00"
Figma,Workshop,ILC N151,MLH," Sat, 9 Nov 2024 10:00:00"," Sat, 9 Nov 2024 11:00:00"
Kaggle,Workshop,ILC S140,UMass Data Science Club," Sat, 9 Nov 2024 11:15:00"," Sat, 9 Nov 2024 12:15:00"
Building your first MERN application,Workshop,ILC N151,Ashwin Goel," Sat, 9 Nov 2024 11:15:00"," Sat, 9 Nov 2024 12:15:00"
Lunch Opens,Lunch Opens,ILC Main Atrium,HackUMass," Sat, 9 Nov 2024 12:15:00"," Sat, 9 Nov 2024 13:00:00"
Introduction to Hardware Hacking,Workshop,ILC N151,UMass Cybersecurity Club," Sat, 9 Nov 2024 13:00:00"," Sat, 9 Nov 2024 14:00:00"
Build a Deep Neural Network!,Workshop,ILC S140,UMass Machine Learning Club," Sat, 9 Nov 2024 13:00:00"," Sat, 9 Nov 2024 14:00:00"
Sponsor Fair,Sponsor Fair,ILC Main Atrium,HackUMass," Sat, 9 Nov 2024 14:00:00"," Sat, 9 Nov 2024 16:00:00"
Introduction to Web Development,Workshop,ILC N151,CICSoft," Sat, 9 Nov 2024 14:15:00"," Sat, 9 Nov 2024 15:15:00"
Art of Pitching and Presenting,Workshop,ILC S140,UMass Entrepreneurship Club," Sat, 9 Nov 2024 14:15:00"," Sat, 9 Nov 2024 15:15:00"
Introduction to OpenAI Developer Platform,Workshop,ILC N151,MassAI," Sat, 9 Nov 2024 15:30:00"," Sat, 9 Nov 2024 16:30:00"
Interactive LED Art Workshop with Arduino,Workshop,CICS Makerspace,HackUMass," Sat, 9 Nov 2024 15:30:00"," Sat, 9 Nov 2024 16:30:00"
React.js + Introduction to Backend,Workshop,ILC S140,Khiem N.," Sat, 9 Nov 2024 16:45:00"," Sat, 9 Nov 2024 17:45:00"
Interviews,Workshop,ILC N151,CICSoft," Sat, 9 Nov 2024 16:45:00"," Sat, 9 Nov 2024 17:45:00"
Dinner Opens,Workshop,ILC Main Atrium,HackUMass," Sat, 9 Nov 2024 18:00:00"," Sat, 9 Nov 2024 19:00:00"
The Value of Product Thinking,Workshop,ILC N151,UMass Product," Sat, 9 Nov 2024 19:00:00"," Sat, 9 Nov 2024 20:00:00"
Introduction to Arduino - Part II,Workshop,CICS Makerspace,HackUMass," Sat, 9 Nov 2024 19:00:00"," Sat, 9 Nov 2024 20:00:00"
Building an iOS mobile app with Swift + SwiftUI,Workshop,ILC N151,Yongye Tan," Sat, 9 Nov 2024 20:15:00"," Sat, 9 Nov 2024 21:15:00"
Robotic Arm ,Workshop,CICS Makerspace,HackUMass," Sat, 9 Nov 2024 20:15:00"," Sat, 9 Nov 2024 21:15:00"
It’s (really not) so Random! (Crypto),Workshop,ILC N101,UMass Cybersecurity Club," Sat, 9 Nov 2024 21:30:00"," Sat, 9 Nov 2024 22:30:00"
Transforming Together - A PIT Company Storyline,Workshop,ILC S140,Public Interest Technology Club," Sat, 9 Nov 2024 21:30:00"," Sat, 9 Nov 2024 22:30:00"
Resume/LinkedIn,Workshop,ILC S140,CICSoft," Sat, 9 Nov 2024 22:45:00"," Sat, 9 Nov 2024 23:45:00"
MNIST Model,Workshop,ILC N151,MassAI," Sat, 9 Nov 2024 22:45:00"," Sat, 9 Nov 2024 23:45:00"
Breakfast Opens,Breakfast Opens,ILC Main Atrium,HackUMass," Sat, 9 Nov 2024 09:00:00"," Sat, 9 Nov 2024 10:00:00"
Project Final Submission Deadline,Project Final Submission Deadline,ILC,HackUMass," Sat, 9 Nov 2024 11:00:00"," Sat, 9 Nov 2024 11:00:00"
Judging Begins,Judging Begins,ILC,HackUMass," Sat, 9 Nov 2024 12:00:00"," Sat, 9 Nov 2024 14:30:00"
Closing Ceremony,Closing Ceremony,ILC N151,HackUMass," Sat, 9 Nov 2024 17:00:00"," Sat, 9 Nov 2024 18:00:00"
